,Index,AB,R,HR,RBI,SB,AVG,OBP,H,2B,3B,BBh,SO,SLG,OPS,PTS,Type,Link,IP,K,W,SV,ERA,WHIP,ER,BB,G,GS,L,CG,K9,ID,PlayerInfo,Name,Last,Team,Positions,Status,Projections,Rank,Player,RTS,NFBC,ADP,Positions_adp,PlayerInfo_adp,PhotoURL,Player_notes,Notes,PlayerInfo_notes,Name_notes,Last_notes,Team_notes,Positions_notes,Status_notes,Description,vsADP,PtsRank
210,Trent Grisham_NYY,455.0,71.0,23,62.0,6.0,0.222,0.322,101,18.0,1.0,67.0,132.0,0.423,0.745,263,H,https://www.fantasypros.com/mlb/players/trent-grisham.php,,,,,,,,,,,,,,trent-grisham,Trent Grisham (NYY - OF),Trent Grisham,Grisham,NYY,OF,,.222|71R|23HR|62RBI|6SB,211,Trent Grisham (NYY - OF),196,246,221.0,OF,Trent Grisham (NYY - OF),https://images.fantasypros.com/images/players/mlb/7502/headshot/70x70.png,Trent Grisham (CF - NYY),,Trent Grisham (NYY - OF),Trent Grisham,Grisham,NYY,OF,,".222|71R|23HR|62RBI|6SB
",10.0,209.0
211,Shane Baz_BAL,,,22,,,,,147,,,,,,,288,P,https://www.fantasypros.com/mlb/players/shane-baz.php,161.0,158.0,10.0,0.0,4.18,1.28,75.0,58.0,29.0,29.0,9.0,0.0,8.83,shane-baz,Shane Baz (BAL - SP),Shane Baz,Baz,BAL,SP,,10-9-0SV|4.18|1.28|8.83K9,212,Shane Baz (BAL - SP),240,203,222.0,SP,Shane Baz (BAL - SP),https://images.fantasypros.com/images/players/mlb/7158/headshot/70x70.png,Shane Baz (SP - BAL),,Shane Baz (BAL - SP),Shane Baz,Baz,BAL,SP,,"10-9-0SV|4.18|1.28|8.83K9
",10.0,156.0
212,Austin Wells_NYY,401.0,52.0,18,55.0,4.0,0.226,0.292,91,19.0,1.0,38.0,110.0,0.412,0.705,203,H,https://www.fantasypros.com/mlb/players/austin-wells.php,,,,,,,,,,,,,,austin-wells,Austin Wells (NYY - C),Austin Wells,Wells,NYY,C,,.226|52R|18HR|55RBI|4SB,213,Austin Wells (NYY - C),219,226,222.0,C,Austin Wells (NYY - C),https://images.fantasypros.com/images/players/mlb/43803/headshot/70x70.png,Austin Wells (C - NYY),,Austin Wells (NYY - C),Austin Wells,Wells,NYY,C,,".226|52R|18HR|55RBI|4SB
",9.0,275.0
213,Jorge Polanco_NYM,449.0,61.0,20,66.0,5.0,0.244,0.317,110,21.0,0.0,48.0,103.0,0.431,0.748,268,H,https://www.fantasypros.com/mlb/players/jorge-polanco.php,,,,,,,,,,,,,,jorge-polanco,"Jorge Polanco (NYM - 2B,DH)",Jorge Polanco,Polanco,NYM,"2B,DH",,.244|61R|20HR|66RBI|5SB,214,"Jorge Polanco (NYM - 2B,DH)",215,232,224.0,"2B,3B,DH","Jorge Polanco (NYM - 2B,3B,DH)",https://images.fantasypros.com/images/players/mlb/5354/headshot/70x70.png,"Jorge Polanco (2B,DH - NYM)",,"Jorge Polanco (NYM - 2B,DH)",Jorge Polanco,Polanco,NYM,"2B,DH",,".244|61R|20HR|66RBI|5SB
",10.0,196.0
214,Ramon Laureano_SD,459.0,62.0,19,65.0,8.0,0.245,0.3,112,22.0,2.0,36.0,135.0,0.428,0.728,231,H,https://www.fantasypros.com/mlb/players/ramon-laureano.php,,,,,,,,,,,,,,ramon-laureano,Ramon Laureano (SD - OF),Ramon Laureano,Laureano,SD,OF,,.245|62R|19HR|65RBI|8SB,215,Ramon Laureano (SD - OF),223,224,224.0,OF,Ramon Laureano (SD - OF),https://images.fantasypros.com/images/players/mlb/6740/headshot/70x70.png,"Ramon Laureano (LF,RF,CF - SD)",,Ramon Laureano (SD - OF),Ramon Laureano,Laureano,SD,OF,,".245|62R|19HR|65RBI|8SB
",9.0,254.0
215,Shane McClanahan_TB,,,17,,,,,118,,,,,,,277,P,https://www.fantasypros.com/mlb/players/shane-mcclanahan.php,134.3,139.0,8.0,0.0,3.64,1.18,54.0,41.0,24.0,24.0,7.0,0.0,9.31,shane-mcclanahan,Shane McClanahan (TB - SP),Shane McClanahan,McClanahan,TB,SP,,8-7-0SV|3.64|1.18|9.31K9,216,Shane McClanahan (TB - SP),198,250,224.0,SP,Shane McClanahan (TB - SP),https://images.fantasypros.com/images/players/mlb/7487/headshot/70x70.png,Shane McClanahan (SP - TB),,Shane McClanahan (TB - SP),Shane McClanahan,McClanahan,TB,SP,,"8-7-0SV|3.64|1.18|9.31K9
",8.0,182.0
216,Marcus Semien_NYM,543.0,72.0,19,70.0,9.0,0.24,0.308,130,24.0,2.0,54.0,102.0,0.398,0.706,319,H,https://www.fantasypros.com/mlb/players/marcus-semien.php,,,,,,,,,,,,,,marcus-semien,Marcus Semien (NYM - 2B),Marcus Semien,Semien,NYM,2B,,.240|72R|19HR|70RBI|9SB,217,Marcus Semien (NYM - 2B),201,248,224.0,2B,Marcus Semien (NYM - 2B),https://images.fantasypros.com/images/players/mlb/4544/headshot/70x70.png,Marcus Semien (2B - NYM),,Marcus Semien (NYM - 2B),Marcus Semien,Semien,NYM,2B,,".240|72R|19HR|70RBI|9SB
",7.0,103.0
217,Mark Vientos_NYM,392.0,51.0,19,58.0,1.0,0.242,0.298,95,17.0,1.0,31.0,113.0,0.435,0.733,199,H,https://www.fantasypros.com/mlb/players/mark-vientos.php,,,,,,,,,,,,,,mark-vientos,"Mark Vientos (NYM - 3B,DH)",Mark Vientos,Vientos,NYM,"3B,DH",,.242|51R|19HR|58RBI|1SB,218,"Mark Vientos (NYM - 3B,DH)",195,255,225.0,"3B,DH","Mark Vientos (NYM - 3B,DH)",https://images.fantasypros.com/images/players/mlb/6940/headshot/70x70.png,"Mark Vientos (3B,DH - NYM)",,"Mark Vientos (NYM - 3B,DH)",Mark Vientos,Vientos,NYM,"3B,DH",,".242|51R|19HR|58RBI|1SB
",7.0,276.0
218,Merrill Kelly_ARI,,,23,,,,,171,,,,,,,303,P,https://www.fantasypros.com/mlb/players/merrill-kelly.php,177.5,158.0,11.0,0.0,4.17,1.27,82.0,55.0,30.0,30.0,10.0,0.0,8.01,merrill-kelly,Merrill Kelly (ARI - SP),Merrill Kelly,Kelly,ARI,SP,,11-10-0SV|4.17|1.27|8.01K9,219,Merrill Kelly (ARI - SP),217,234,226.0,SP,Merrill Kelly (ARI - SP),https://images.fantasypros.com/images/players/mlb/8374/headshot/70x70.png,Merrill Kelly (SP - ARI),,Merrill Kelly (ARI - SP),Merrill Kelly,Kelly,ARI,SP,,"11-10-0SV|4.17|1.27|8.01K9
",7.0,132.0
219,Sal Stewart_CIN,430.0,58.0,17,62.0,6.0,0.263,0.326,113,24.0,1.0,40.0,94.0,0.447,0.773,262,H,https://www.fantasypros.com/mlb/players/sal-stewart.php,,,,,,,,,,,,,,sal-stewart,"Sal Stewart (CIN - 1B,2B,3B)",Sal Stewart,Stewart,CIN,"1B,2B,3B",,.263|58R|17HR|62RBI|6SB,220,"Sal Stewart (CIN - 1B,2B,3B)",237,215,226.0,1B,Sal Stewart (CIN - 1B),https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,"Sal Stewart (2B,3B,1B - CIN)",,"Sal Stewart (CIN - 1B,2B,3B)",Sal Stewart,Stewart,CIN,"1B,2B,3B",,".263|58R|17HR|62RBI|6SB
",6.0,212.0
220,Heliot Ramos_SF,541.0,72.0,21,71.0,6.0,0.253,0.311,137,24.0,2.0,46.0,145.0,0.424,0.735,279,H,https://www.fantasypros.com/mlb/players/heliot-ramos-of.php,,,,,,,,,,,,,,heliot-ramos-of,Heliot Ramos (SF - OF),Heliot Ramos,Ramos,SF,OF,,.253|72R|21HR|71RBI|6SB,221,Heliot Ramos (SF - OF),235,217,226.0,OF,Heliot Ramos (SF - OF),https://images.fantasypros.com/images/players/mlb/10033/headshot/70x70.png,"Heliot Ramos (LF,CF - SF)",,Heliot Ramos (SF - OF),Heliot Ramos,Ramos,SF,OF,,".253|72R|21HR|71RBI|6SB
",5.0,176.0
221,Connelly Early_BOS,,,5,,,,,47,,,,,,,106,P,https://www.fantasypros.com/mlb/players/connelly-early.php,52.7,54.0,3.0,0.0,3.66,1.25,21.0,19.0,24.0,7.0,3.0,0.0,9.22,connelly-early,Connelly Early (BOS - SP),Connelly Early,Early,BOS,SP,,3-3-0SV|3.66|1.25|9.22K9,222,Connelly Early (BOS - SP),230,223,226.0,SP,Connelly Early (BOS - SP),https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,Connelly Early (SP - BOS),,Connelly Early (BOS - SP),Connelly Early,Early,BOS,SP,,"3-3-0SV|3.66|1.25|9.22K9
",4.0,294.0
222,Giancarlo Stanton_NYY,387.0,54.0,26,67.0,1.0,0.227,0.301,88,14.0,0.0,41.0,135.0,0.469,0.769,209,H,https://www.fantasypros.com/mlb/players/giancarlo-stanton.php,,,,,,,,,,,,,,giancarlo-stanton,"Giancarlo Stanton (NYY - DH,OF)",Giancarlo Stanton,Stanton,NYY,"DH,OF",,.227|54R|26HR|67RBI|1SB,223,"Giancarlo Stanton (NYY - DH,OF)",203,251,227.0,"DH,OF","Giancarlo Stanton (NYY - DH,OF)",https://images.fantasypros.com/images/players/mlb/3783/headshot/70x70.png,"Giancarlo Stanton (DH,RF - NYY)",,"Giancarlo Stanton (NYY - DH,OF)",Giancarlo Stanton,Stanton,NYY,"DH,OF",,".227|54R|26HR|67RBI|1SB
",4.0,270.0
223,Matt McLain_CIN,476.0,63.0,17,58.0,15.0,0.235,0.308,112,23.0,2.0,50.0,150.0,0.397,0.705,225,H,https://www.fantasypros.com/mlb/players/matt-mclain.php,,,,,,,,,,,,,,matt-mclain,"Matt McLain (CIN - 2B,SS)",Matt McLain,McLain,CIN,"2B,SS",,.235|63R|17HR|58RBI|15SB,224,"Matt McLain (CIN - 2B,SS)",243,211,227.0,2B,Matt McLain (CIN - 2B),https://images.fantasypros.com/images/players/mlb/7953/headshot/70x70.png,"Matt McLain (2B,SS - CIN)",,"Matt McLain (CIN - 2B,SS)",Matt McLain,McLain,CIN,"2B,SS",,".235|63R|17HR|58RBI|15SB
",3.0,261.0
224,Kerry Carpenter_DET,424.0,59.0,22,65.0,2.0,0.252,0.302,107,18.0,3.0,30.0,110.0,0.468,0.769,243,H,https://www.fantasypros.com/mlb/players/kerry-carpenter.php,,,,,,,,,,,,,,kerry-carpenter,"Kerry Carpenter (DET - DH,OF)",Kerry Carpenter,Carpenter,DET,"DH,OF",,.252|59R|22HR|65RBI|2SB,225,"Kerry Carpenter (DET - DH,OF)",246,212,229.0,"DH,OF","Kerry Carpenter (DET - DH,OF)",https://images.fantasypros.com/images/players/mlb/45596/headshot/70x70.png,"Kerry Carpenter (RF,DH,LF - DET)",,"Kerry Carpenter (DET - DH,OF)",Kerry Carpenter,Carpenter,DET,"DH,OF",,".252|59R|22HR|65RBI|2SB
",4.0,240.0
225,Spencer Steer_CIN,492.0,66.0,19,68.0,10.0,0.237,0.315,117,25.0,2.0,56.0,120.0,0.412,0.726,283,H,https://www.fantasypros.com/mlb/players/spencer-steer.php,,,,,,,,,,,,,,spencer-steer,"Spencer Steer (CIN - 1B,DH,OF)",Spencer Steer,Steer,CIN,"1B,DH,OF",,.237|66R|19HR|68RBI|10SB,226,"Spencer Steer (CIN - 1B,DH,OF)",218,240,229.0,"1B,OF","Spencer Steer (CIN - 1B,OF)",https://images.fantasypros.com/images/players/mlb/44364/headshot/70x70.png,"Spencer Steer (1B,LF,DH - CIN)",,"Spencer Steer (CIN - 1B,DH,OF)",Spencer Steer,Steer,CIN,"1B,DH,OF",,".237|66R|19HR|68RBI|10SB
",3.0,169.0
226,Zac Gallen_FA,,,24,,,,,172,,,,,,,301,P,https://www.fantasypros.com/mlb/players/zac-gallen.php,177.4,168.0,11.0,0.0,4.26,1.3,84.0,59.0,31.0,30.0,11.0,0.0,8.52,zac-gallen,Zac Gallen (FA - SP),Zac Gallen,Gallen,FA,SP,FA,11-11-0SV|4.26|1.30|8.52K9,227,Zac Gallen (FA - SP),232,227,230.0,SP,Zac Gallen (FA - SP),https://images.fantasypros.com/images/players/mlb/7245/headshot/70x70.png,Zac Gallen (SP - FA),,Zac Gallen (FA - SP),Zac Gallen,Gallen,FA,SP,,"11-11-0SV|4.26|1.30|8.52K9
",3.0,135.0
227,Konnor Griffin_PIT,324.0,43.0,9,40.0,18.0,0.258,0.306,84,16.0,1.0,22.0,89.0,0.397,0.703,162,H,https://www.fantasypros.com/mlb/players/konnor-griffin.php,,,,,,,,,,,,,,konnor-griffin,Konnor Griffin (PIT - OF),Konnor Griffin,Griffin,PIT,OF,NRI,.258|43R|9HR|40RBI|18SB,228,Konnor Griffin (PIT - OF),216,244,230.0,"OF,SS","Konnor Griffin (PIT - OF,SS)",https://images.fantasypros.com/images/players/mlb/missing/headshot/70x70.png,Konnor Griffin (CF - PIT),,Konnor Griffin (PIT - OF),Konnor Griffin,Griffin,PIT,OF,,".258|43R|9HR|40RBI|18SB
",2.0,288.0
228,Aaron Nola_PHI,,,25,,,,,164,,,,,,,309,P,https://www.fantasypros.com/mlb/players/aaron-nola.php,171.6,163.0,10.0,0.0,4.16,1.23,79.0,47.0,30.0,30.0,10.0,0.0,8.55,aaron-nola,Aaron Nola (PHI - SP),Aaron Nola,Nola,PHI,SP,,10-10-0SV|4.16|1.23|8.55K9,229,Aaron Nola (PHI - SP),251,210,230.0,SP,Aaron Nola (PHI - SP),https://images.fantasypros.com/images/players/mlb/5682/headshot/70x70.png,Aaron Nola (SP - PHI),,Aaron Nola (PHI - SP),Aaron Nola,Nola,PHI,SP,,"10-10-0SV|4.16|1.23|8.55K9
",1.0,118.0
229,Gleyber Torres_DET,564.0,79.0,18,69.0,6.0,0.258,0.341,145,26.0,1.0,71.0,111.0,0.401,0.741,342,H,https://www.fantasypros.com/mlb/players/gleyber-torres.php,,,,,,,,,,,,,,gleyber-torres,"Gleyber Torres (DET - 2B,DH)",Gleyber Torres,Torres,DET,"2B,DH",,.258|79R|18HR|69RBI|6SB,230,"Gleyber Torres (DET - 2B,DH)",220,242,231.0,2B,Gleyber Torres (DET - 2B),https://images.fantasypros.com/images/players/mlb/5133/headshot/70x70.png,"Gleyber Torres (2B,DH - DET)",,"Gleyber Torres (DET - 2B,DH)",Gleyber Torres,Torres,DET,"2B,DH",,".258|79R|18HR|69RBI|6SB
",1.0,68.0
230,Mickey Moniak_COL,422.0,59.0,19,60.0,9.0,0.258,0.297,109,21.0,4.0,24.0,114.0,0.463,0.76,233,H,https://www.fantasypros.com/mlb/players/mckenzie-moniak.php,,,,,,,,,,,,,,mckenzie-moniak,"Mickey Moniak (COL - DH,OF)",Mickey Moniak,Moniak,COL,"DH,OF",,.258|59R|19HR|60RBI|9SB,231,"Mickey Moniak (COL - DH,OF)",224,239,232.0,OF,Mickey Moniak (COL - OF),https://images.fantasypros.com/images/players/mlb/8368/headshot/70x70.png,"Mickey Moniak (CF,RF,DH,LF - COL)",,"Mickey Moniak (COL - DH,OF)",Mickey Moniak,Moniak,COL,"DH,OF",,".258|59R|19HR|60RBI|9SB
",1.0,252.0
231,Xander Bogaerts_SD,510.0,65.0,13,60.0,15.0,0.263,0.324,134,25.0,1.0,46.0,100.0,0.4,0.724,287,H,https://www.fantasypros.com/mlb/players/xander-bogaerts.php,,,,,,,,,,,,,,xander-bogaerts,"Xander Bogaerts (SD - 2B,SS)",Xander Bogaerts,Bogaerts,SD,"2B,SS",,.263|65R|13HR|60RBI|15SB,232,"Xander Bogaerts (SD - 2B,SS)",234,231,232.0,SS,Xander Bogaerts (SD - SS),https://images.fantasypros.com/images/players/mlb/4347/headshot/70x70.png,"Xander Bogaerts (2B,SS - SD)",,"Xander Bogaerts (SD - 2B,SS)",Xander Bogaerts,Bogaerts,SD,"2B,SS",,".263|65R|13HR|60RBI|15SB
",0.0,158.0
232,Otto Lopez_MIA,503.0,60.0,11,57.0,15.0,0.265,0.316,133,25.0,2.0,38.0,84.0,0.393,0.709,283,H,https://www.fantasypros.com/mlb/players/otto-lopez.php,,,,,,,,,,,,,,otto-lopez,"Otto Lopez (MIA - 2B,SS)",Otto Lopez,Lopez,MIA,"2B,SS",,.265|60R|11HR|57RBI|15SB,233,"Otto Lopez (MIA - 2B,SS)",247,219,233.0,"2B,SS","Otto Lopez (MIA - 2B,SS)",https://images.fantasypros.com/images/players/mlb/10618/headshot/70x70.png,"Otto Lopez (2B,SS - MIA)",,"Otto Lopez (MIA - 2B,SS)",Otto Lopez,Lopez,MIA,"2B,SS",,".265|60R|11HR|57RBI|15SB
",0.0,170.0
233,Ezequiel Tovar_COL,584.0,79.0,21,74.0,10.0,0.263,0.301,154,33.0,3.0,32.0,154.0,0.435,0.736,296,H,https://www.fantasypros.com/mlb/players/ezequiel-tovar.php,,,,,,,,,,,,,,ezequiel-tovar,Ezequiel Tovar (COL - SS),Ezequiel Tovar,Tovar,COL,SS,,.263|79R|21HR|74RBI|10SB,234,Ezequiel Tovar (COL - SS),264,205,234.0,SS,Ezequiel Tovar (COL - SS),https://images.fantasypros.com/images/players/mlb/45000/headshot/70x70.png,Ezequiel Tovar (SS - COL),,Ezequiel Tovar (COL - SS),Ezequiel Tovar,Tovar,COL,SS,,".263|79R|21HR|74RBI|10SB
",0.0,145.0
234,Jack Flaherty_DET,,,22,,,,,145,,,,,,,319,P,https://www.fantasypros.com/mlb/players/jack-flaherty.php,162.1,176.0,10.0,0.0,3.99,1.24,72.0,56.0,29.0,29.0,9.0,0.0,9.77,jack-flaherty,Jack Flaherty (DET - SP),Jack Flaherty,Flaherty,DET,SP,,10-9-0SV|3.99|1.24|9.77K9,235,Jack Flaherty (DET - SP),239,230,234.0,SP,Jack Flaherty (DET - SP),https://images.fantasypros.com/images/players/mlb/6021/headshot/70x70.png,Jack Flaherty (SP - DET),,Jack Flaherty (DET - SP),Jack Flaherty,Flaherty,DET,SP,,"10-9-0SV|3.99|1.24|9.77K9
",-1.0,104.0
235,Gerrit Cole_NYY,,,18,,,,,107,,,,,,,242,P,https://www.fantasypros.com/mlb/players/gerrit-cole.php,120.7,123.0,8.0,0.0,3.89,1.18,52.0,36.0,21.0,21.0,6.0,0.0,9.17,gerrit-cole,Gerrit Cole (NYY - SP),Gerrit Cole,Cole,NYY,SP,,8-6-0SV|3.89|1.18|9.17K9,236,Gerrit Cole (NYY - SP),192,279,236.0,SP,Gerrit Cole (NYY - SP),https://images.fantasypros.com/images/players/mlb/4656/headshot/70x70.png,Gerrit Cole (SP - NYY),,Gerrit Cole (NYY - SP),Gerrit Cole,Cole,NYY,SP,,"8-6-0SV|3.89|1.18|9.17K9
",0.0,244.0
236,Roki Sasaki_LAD,,,15,,,,,111,,,,,,,208,P,https://www.fantasypros.com/mlb/players/roki-sasaki.php,120.3,115.0,7.0,0.0,4.25,1.31,57.0,47.0,33.0,19.0,6.0,0.0,8.6,roki-sasaki,Roki Sasaki (LAD - SP),Roki Sasaki,Sasaki,LAD,SP,,7-6-0SV|4.25|1.31|8.60K9,237,Roki Sasaki (LAD - SP),258,214,236.0,SP,Roki Sasaki (LAD - SP),https://images.fantasypros.com/images/players/mlb/7354019/headshot/70x70.png,Roki Sasaki (SP - LAD),,Roki Sasaki (LAD - SP),Roki Sasaki,Sasaki,LAD,SP,,"7-6-0SV|4.25|1.31|8.60K9
",-1.0,271.0
237,Jac Caglianone_KC,445.0,58.0,18,62.0,3.0,0.242,0.299,108,20.0,2.0,36.0,108.0,0.42,0.72,236,H,https://www.fantasypros.com/mlb/players/jac-caglianone.php,,,,,,,,,,,,,,jac-caglianone,"Jac Caglianone (KC - 1B,OF)",Jac Caglianone,Caglianone,KC,"1B,OF",,.242|58R|18HR|62RBI|3SB,238,"Jac Caglianone (KC - 1B,OF)",252,220,236.0,"1B,OF","Jac Caglianone (KC - 1B,OF)",https://images.fantasypros.com/images/players/mlb/7354363/headshot/70x70.png,"Jac Caglianone (1B,RF - KC)",,"Jac Caglianone (KC - 1B,OF)",Jac Caglianone,Caglianone,KC,"1B,OF",,".242|58R|18HR|62RBI|3SB
",-2.0,248.0
238,Matt Shaw_CHC,219.0,30.0,7,26.0,9.0,0.239,0.306,52,10.0,1.0,21.0,50.0,0.388,0.693,123,H,https://www.fantasypros.com/mlb/players/matt-shaw.php,,,,,,,,,,,,,,matt-shaw,"Matt Shaw (CHC - 2B,3B,SS)",Matt Shaw,Shaw,CHC,"2B,3B,SS",,.239|30R|7HR|26RBI|9SB,239,"Matt Shaw (CHC - 2B,3B,SS)",280,195,238.0,3B,Matt Shaw (CHC - 3B),https://images.fantasypros.com/images/players/mlb/47221/headshot/70x70.png,"Matt Shaw (2B,3B,SS - CHC)",,"Matt Shaw (CHC - 2B,3B,SS)",Matt Shaw,Shaw,CHC,"2B,3B,SS",,".239|30R|7HR|26RBI|9SB
",-1.0,293.0
239,Luis Arraez_FA,548.0,69.0,5,55.0,8.0,0.301,0.34,165,27.0,3.0,32.0,26.0,0.389,0.729,353,H,https://www.fantasypros.com/mlb/players/luis-arraez.php,,,,,,,,,,,,,,luis-arraez,"Luis Arraez (FA - 1B,2B,DH)",Luis Arraez,Arraez,FA,"1B,2B,DH",FA,.301|69R|5HR|55RBI|8SB,240,"Luis Arraez (FA - 1B,2B,DH)",212,268,240.0,"1B,2B,DH","Luis Arraez (FA - 1B,2B,DH)",https://images.fantasypros.com/images/players/mlb/8162/headshot/70x70.png,"Luis Arraez (1B,2B,DH - FA)",,"Luis Arraez (FA - 1B,2B,DH)",Luis Arraez,Arraez,FA,"1B,2B,DH",,".301|69R|5HR|55RBI|8SB
",0.0,64.0
240,Wilyer Abreu_BOS,432.0,61.0,21,66.0,8.0,0.247,0.326,107,23.0,1.0,50.0,120.0,0.448,0.774,262,H,https://www.fantasypros.com/mlb/players/wilyer-abreu.php,,,,,,,,,,,,,,wilyer-abreu,Wilyer Abreu (BOS - OF),Wilyer Abreu,Abreu,BOS,OF,,.247|61R|21HR|66RBI|8SB,241,Wilyer Abreu (BOS - OF),245,236,240.0,OF,Wilyer Abreu (BOS - OF),https://images.fantasypros.com/images/players/mlb/45630/headshot/70x70.png,Wilyer Abreu (RF - BOS),,Wilyer Abreu (BOS - OF),Wilyer Abreu,Abreu,BOS,OF,,".247|61R|21HR|66RBI|8SB
",-1.0,213.0
241,Kyle Manzardo_CLE,468.0,62.0,24,72.0,2.0,0.235,0.311,110,23.0,1.0,51.0,124.0,0.443,0.753,271,H,https://www.fantasypros.com/mlb/players/kyle-manzardo.php,,,,,,,,,,,,,,kyle-manzardo,"Kyle Manzardo (CLE - 1B,DH)",Kyle Manzardo,Manzardo,CLE,"1B,DH",,.235|62R|24HR|72RBI|2SB,242,"Kyle Manzardo (CLE - 1B,DH)",248,237,242.0,"1B,DH","Kyle Manzardo (CLE - 1B,DH)",https://images.fantasypros.com/images/players/mlb/44758/headshot/70x70.png,"Kyle Manzardo (DH,1B - CLE)",,"Kyle Manzardo (CLE - 1B,DH)",Kyle Manzardo,Manzardo,CLE,"1B,DH",,".235|62R|24HR|72RBI|2SB
",0.0,192.0
242,Caleb Durbin_MIL,488.0,60.0,11,55.0,22.0,0.25,0.303,122,26.0,2.0,37.0,63.0,0.375,0.678,298,H,https://www.fantasypros.com/mlb/players/caleb-durbin.php,,,,,,,,,,,,,,caleb-durbin,"Caleb Durbin (MIL - 2B,3B)",Caleb Durbin,Durbin,MIL,"2B,3B",,.250|60R|11HR|55RBI|22SB,243,"Caleb Durbin (MIL - 2B,3B)",244,243,244.0,"2B,3B","Caleb Durbin (MIL - 2B,3B)",https://images.fantasypros.com/images/players/mlb/45944/headshot/70x70.png,"Caleb Durbin (2B,3B - MIL)",,"Caleb Durbin (MIL - 2B,3B)",Caleb Durbin,Durbin,MIL,"2B,3B",,".250|60R|11HR|55RBI|22SB
",1.0,138.0
243,Adolis Garcia_PHI,502.0,64.0,23,72.0,11.0,0.234,0.288,118,24.0,1.0,38.0,143.0,0.424,0.712,255,H,https://www.fantasypros.com/mlb/players/jose-adolis-garcia.php,,,,,,,,,,,,,,jose-adolis-garcia,"Adolis Garcia (PHI - DH,OF)",Adolis Garcia,Garcia,PHI,"DH,OF",,.234|64R|23HR|72RBI|11SB,244,"Adolis Garcia (PHI - DH,OF)",241,247,244.0,OF,Adolis Garcia (PHI - OF),https://images.fantasypros.com/images/players/mlb/6901/headshot/70x70.png,"Adolis Garcia (RF,DH - PHI)",,"Adolis Garcia (PHI - DH,OF)",Adolis Garcia,Garcia,PHI,"DH,OF",,".234|64R|23HR|72RBI|11SB
",0.0,227.0
244,Jordan Beck_COL,465.0,62.0,15,61.0,15.0,0.249,0.31,116,24.0,3.0,41.0,144.0,0.412,0.722,225,H,https://www.fantasypros.com/mlb/players/jordan-beck.php,,,,,,,,,,,,,,jordan-beck,Jordan Beck (COL - OF),Jordan Beck,Beck,COL,OF,,.249|62R|15HR|61RBI|15SB,245,Jordan Beck (COL - OF),268,221,244.0,OF,Jordan Beck (COL - OF),https://images.fantasypros.com/images/players/mlb/46291/headshot/70x70.png,"Jordan Beck (LF,RF - COL)",,Jordan Beck (COL - OF),Jordan Beck,Beck,COL,OF,,".249|62R|15HR|61RBI|15SB
",-1.0,262.0
245,Dillon Dingler_DET,366.0,43.0,12,45.0,1.0,0.244,0.293,89,18.0,1.0,26.0,99.0,0.396,0.689,160,H,https://www.fantasypros.com/mlb/players/dillon-dingler.php,,,,,,,,,,,,,,dillon-dingler,Dillon Dingler (DET - C),Dillon Dingler,Dingler,DET,C,,.244|43R|12HR|45RBI|1SB,246,Dillon Dingler (DET - C),283,208,246.0,C,Dillon Dingler (DET - C),https://images.fantasypros.com/images/players/mlb/43821/headshot/70x70.png,Dillon Dingler (C - DET),,Dillon Dingler (DET - C),Dillon Dingler,Dingler,DET,C,,".244|43R|12HR|45RBI|1SB
",0.0,289.0
246,Logan O'Hoppe_LAA,395.0,47.0,18,52.0,2.0,0.23,0.284,91,14.0,1.0,30.0,122.0,0.409,0.693,168,H,https://www.fantasypros.com/mlb/players/logan-ohoppe.php,,,,,,,,,,,,,,logan-ohoppe,Logan O'Hoppe (LAA - C),Logan O'Hoppe,O'Hoppe,LAA,C,,.230|47R|18HR|52RBI|2SB,247,Logan O'Hoppe (LAA - C),256,235,246.0,C,Logan O'Hoppe (LAA - C),https://images.fantasypros.com/images/players/mlb/43987/headshot/70x70.png,Logan O'Hoppe (C - LAA),,Logan O'Hoppe (LAA - C),Logan O'Hoppe,O'Hoppe,LAA,C,,".230|47R|18HR|52RBI|2SB
",-1.0,284.0
247,Bryan Abreu_HOU,,,7,,,,,53,,,,,,,221,P,https://www.fantasypros.com/mlb/players/bryan-abreu.php,68.7,90.0,4.0,4.0,3.27,1.18,25.0,28.0,67.0,0.0,3.0,0.0,11.79,bryan-abreu,Bryan Abreu (HOU - RP),Bryan Abreu,Abreu,HOU,RP,,4-3-4SV|3.27|1.18|11.79K9,248,Bryan Abreu (HOU - RP),221,272,246.0,RP,Bryan Abreu (HOU - RP),https://images.fantasypros.com/images/players/mlb/8384/headshot/70x70.png,Bryan Abreu (RP - HOU),,Bryan Abreu (HOU - RP),Bryan Abreu,Abreu,HOU,RP,,"4-3-4SV|3.27|1.18|11.79K9
",-2.0,264.0
